description,price,user,time,id,quantity
,170,Tim,2015-08-04 20:06:11.093577,295682,1
,170,Hasan,2015-08-04 20:06:11.094753,345093,1
,170,Jeroen,2015-08-04 20:06:11.095675,345100,1
,170,Mijke,2015-08-04 20:06:11.096616,333483,1
,170,Ralph,2015-08-04 20:06:11.097534,345264,1
,170,Geert,2015-08-04 20:06:11.098417,343761,1
,173,Jessica,2015-08-04 20:06:11.099294,344028,1
,175,Berend,2015-08-04 20:06:11.100181,331538,1
,175,Esther,2015-08-04 20:06:11.101076,329507,1
,175,Celeste,2015-08-04 20:06:11.101991,332074,1
,175,Eva,2015-08-04 20:06:11.102902,303661,1
,175,Joost,2015-08-04 20:06:11.103817,344878,2
,175,Fenna,2015-08-04 20:06:11.104695,344132,4
,175,Julie,2015-08-04 20:06:11.105617,332377,2
,175,Paul,2015-08-04 20:06:11.106561,342629,6
,175,Janet,2015-08-04 20:06:11.107446,342632,2
,175,Carlijne,2015-08-04 20:06:11.108374,344938,1
,175,Lisa,2015-08-04 20:06:11.109303,339821,4
,175,Wouter,2015-08-04 20:06:11.110203,340084,1
,175,Alex,2015-08-04 20:06:11.111083,339080,1
,175,Eelke,2015-08-04 20:06:11.111966,342172,4
,175,Yvonne,2015-08-04 20:06:11.112850,339874,2
,175,Roos,2015-08-04 20:06:11.113736,260028,2
,178,Christian,2015-08-04 20:06:11.114612,223726,1
,179,Emma,2015-08-04 20:06:11.115496,344428,1
,179,No,2015-08-04 20:06:11.116414,290483,1
,179,Philipp,2015-08-04 20:06:11.117316,340679,4
,179,Sarah,2015-08-04 20:06:11.124522,331220,2
,180,Femke,2015-08-04 20:06:11.125861,339219,3
,180,Maaike,2015-08-04 20:06:11.127196,287765,1
,180,Ilse,2015-08-04 20:06:11.128407,344357,1
,180,Didi,2015-08-04 20:06:11.129589,299838,1
,180,Marcel,2015-08-04 20:06:11.130799,339283,1
,180,Emma,2015-08-04 20:06:11.132013,296545,3
,180,Natasja,2015-08-04 20:06:11.133179,223092,1
,180,Rianne,2015-08-04 20:06:11.134226,340101,2
,180,Joost,2015-08-04 20:06:11.135234,339851,2
,180,Petra,2015-08-04 20:06:11.136244,327053,1
,180,Linda,2015-08-04 20:06:11.137315,331923,2
,180,Kelly,2015-08-04 20:06:11.138223,326548,1
,180,Thomas,2015-08-04 20:06:11.139120,345495,1
,180,Mariette,2015-08-04 20:06:11.140009,328379,1
,180,Lars,2015-08-04 20:06:11.140894,337851,1
,180,Mikal,2015-08-04 20:06:11.141787,344264,1
,180,Becky,2015-08-04 20:06:11.142680,244433,2
